region,lat,long,node_id
CA,32.75497274686537,-117.12602766,F_6_N001
CA,32.75489212655523,-117.12597165333156,F_6_N002
CA,32.75489212655523,-117.12608234666845,F_6_N005
CA,36.731511,-121.6132566,GABILAN_6_N001
CA,34.85946599998758,-116.86535894183865,GALE_1_N001
CA,39.939187,-120.94815766,GANSNER_6_N101
CA,35.501698,-119.44913266,GANSO_1_N001
CA,38.88879,-123.55031866,GARCIA_6_N001
CA,34.98,-120.2666,GAREY_1_N002
CA,32.795125,-116.99684866,GARFIELD_6_N001
CA,33.938661056114945,-116.5763896801062,GARNET_1_N106
CA,33.93858299995228,-116.57633536031197,GARNET_7_N001
CA,33.938504943861176,-116.57638968020579,GARNET_7_N003
CA,33.938504943861176,-116.57649831979421,GARNET_7_N006
CA,33.93858299995228,-116.57655263968803,GARNET_7_N008
CA,33.938661056114945,-116.57649831989383,GARNET_7_N009
CA,38.181446,-120.0306766,GATESBK4_7_N002
CA,36.136584,-120.34403266,GATESBK4_7_N003
PGE,45.59947,-123.22164266,GCRK_LNODEBR1
CA,32.87974054062765,-117.21338238008252,GENESEE_6_N001
CA,32.87956145928191,-117.21338238029793,GENESEE_6_N005
CA,32.87956145928191,-117.21359561970209,GENESEE_6_N011
CA,32.87974054062765,-117.21359561991757,GENESEE_6_N015
CA,34.3,-114.2366,GENE_2_N001
CA,38.776707,-122.74254566,GEOENGY_7_B3
CA,40.064207,-122.15611466,GERBER_6_N101
CA,38.77670699994356,-122.74242989720373,GEYSER11_7_B1
CA,38.77661726665077,-122.74242989734857,GEYSER12_7_B1
CA,38.77655381568255,-122.74251128724391,GEYSER13_7_N001
CA,38.77653864158289,-122.74262473213352,GEYSER14_7_N001
CA,38.77656972082547,-122.74273271039773,GEYSER16_7_B1
CA,38.77663516498316,-122.7428114606519,GEYSER17_7_B1
CA,38.776719970706,-122.74284907856945,GEYSER18_7_B1
CA,38.77680956998666,-122.74284279025427,GEYSER20_7_B1
CA,38.776891649196784,-122.74279627374679,GEYSER78_7_B1
CA,38.77695694622476,-122.74271732243926,GEYSER78_7_B3
CA,38.7769994286318,-122.74261593587354,GEYSR5-6_7_B2
CA,38.777016102481774,-122.74250283715872,GEYSR5-6_7_B3
CA,38.777006613720275,-122.74238837921153,GEYSR5-6_7_N001
CA,36.545076,-120.33451966,GIFFEN_6_N001
CA,36.530228,-120.31612566,GIFFGEN_7_N002
CA,37.14,-121.5866,GILROYF_1_N001
CA,40.51347,-122.37891666,GIRVAN_6_N001
PGE,45.48694,-122.723466,GLCL_LNODEWR1
CA,35.008087,-118.16398366,GLDTGEN_7_N002
PGE,45.53249999998222,-122.53022509554948,GLDV_LNODEWR2
PGE,45.53249999998222,-122.53035290445052,GLDV_LNODEWR4
CA,32.798367,-116.49831566,GLENCLIF_6_N001
CA,37.45733023092607,-122.18696766,GLENWOOD_6_N001
CA,37.457248884522265,-122.18690783531744,GLENWOOD_6_N004
CA,37.457248884522265,-122.18702616468256,GLENWOOD_6_N005
CA,34.125226999951806,-118.15210094450056,GLNARMC1_7_B1
CA,34.12513672239534,-118.1522166,GLNARMC2_7_B1
CA,34.125226999951806,-118.15231905549946,GLNARMC3_7_B1
CA,34.1253172776047,-118.1522166,GLNARMC4_7_B1
PGE,45.519062,-122.61137466,GLNC_LNODEWR1
CA,37.12999999998655,-121.55994344852297,GLRYCGG1_7_B2
CA,37.12999999998655,-121.56005655147716,GLRYCGG1_7_N001
PGE,45.519139999982244,-122.44624011025428,GLSN_LNODEWR1
PGE,45.519139999982244,-122.44636788974574,GLSN_LNODEWR2
CA,33.11569013639368,-117.08917455255984,GOALLINE_6_N001
CA,38.658396,-121.13640366,GOLDHILL_1_N033
CA,35.32012199998752,-120.69284284611504,GOLDTREE_1_N001
CA,35.32012199998752,-120.69295315388497,GOLDTREE_1_N002
CA,34.46880142976412,-119.88423931291777,GOLETA_6_N002
CA,34.468620570137865,-119.88423931315543,GOLETA_6_N004
CA,34.468620570137865,-119.88445868684455,GOLETA_6_N100
